Estimated Overall Performance
-------------------------------
Samples/s:                                     5887.1
Compute Samples/s:                             5887.1
Transmission Samples/s:                        5897.5
Active PEs:                                    37%
Compute Utilization:                           72%
+-------------------------------------------------------------------------------------------+-------------+-------------------+------------------------+------------+---------------------+
| Kernel Name                                                                               | Samples/s   | Compute Samples/s | Transmission Samples/s | Active PEs | Compute Utilization |
| attention17                                                                               |      6143.0 |            6143.0 |                16769.3 |       2240 |                 63% |
| attention3.compute_core                                                                   |      6143.0 |            6143.0 |                16769.3 |       2128 |                 65% |
| attention17.compute_core.attn_core_bwd                                                    |      6143.0 |            6143.0 |                23057.7 |        512 |                 96% |
| attention3.compute_core.attn_core_bwd                                                     |      6143.0 |            6143.0 |                23057.7 |        512 |                 96% |
| attention17.compute_core                                                                  |      6143.0 |            6143.0 |                16769.3 |       2128 |                 65% |
| attention15.compute_core                                                                  |      6143.0 |            6143.0 |                16769.3 |       2128 |                 65% |
| attention16                                                                               |      6143.0 |            6143.0 |                16769.3 |       2240 |                 63% |
| attention3                                                                                |      6143.0 |            6143.0 |                16769.3 |       2240 |                 63% |
| attention15                                                                               |      6143.0 |            6143.0 |                16769.3 |       2240 |                 63% |
| attention16.compute_core                                                                  |      6143.0 |            6143.0 |                16769.3 |       2128 |                 65% |
| fc24.compute_core.fc_postadapt.nlin_f                                                     |      6160.1 |            6160.1 |                43688.3 |          7 |                 96% |
| fc24.compute_core.fc_postadapt                                                            |      6160.1 |            6160.1 |                43688.3 |         21 |                 37% |
| fc9.compute_core.fc                                                                       |      6171.6 |            6171.6 |                15443.3 |        676 |                 95% |
| attention11.compute_core.attn_fc_out.lib_fc                                               |      6171.6 |            6171.6 |                15515.5 |        160 |                 95% |
| fc9.compute_core.fc.lib_fc                                                                |      6171.6 |            6171.6 |                15443.3 |        676 |                 95% |
| fc9                                                                                       |      6171.6 |            6171.6 |                15443.3 |        870 |                 81% |
| attention1                                                                                |      6171.6 |            6171.6 |                15515.5 |       2625 |                 62% |
| fc9.compute_core                                                                          |      6171.6 |            6171.6 |                15443.3 |        812 |                 85% |
